ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,Latitude,Longitude,Description,RoadName
960,SMRT,2,2,02051,0.8,1.289503056,103.8590339,The Float @ Marina Bay,Raffles Ave
960,SMRT,2,3,02061,1.1,1.2899638888957,103.85640388886262,The Esplanade,Raffles Ave
960,SMRT,2,4,04151,2.0,1.29533777799211,103.85113972198121,Cath of The Good Shepherd,Victoria St
960,SMRT,2,5,01013,2.4,1.29770970610083,103.8532247463225,St. Joseph's Ch,Victoria St
960,SMRT,2,6,01112,2.7,1.30009212839081,103.85520027125814,Opp Bugis Stn Exit C,Victoria St
960,SMRT,2,7,07551,3.0,1.30171975809706,103.8546132267025,Fu Lu Shou Cplx,Rochor Rd
960,SMRT,2,8,07531,3.3,1.30365644370093,103.8525732326128,Rochor Stn,Rochor Canal Rd
960,SMRT,2,9,40011,3.7,1.30606411522588,103.84908751469008,Little India Stn Exit A,Bt Timah Rd
960,SMRT,2,10,40271,4.2,1.30880664936794,103.8463464537845,Opp KK Women & Child Hosp,Bt Timah Rd
960,SMRT,2,11,40021,4.7,1.311033889,103.8427911,Bef Winstedt Rd,Bt Timah Rd
960,SMRT,2,12,40031,5.0,1.31178509472011,103.84098359641321,Newton FC,Bt Timah Rd
960,SMRT,2,13,40041,5.4,1.3137222313328,103.83809742560602,Newton Stn Exit C,Bt Timah Rd
960,SMRT,2,14,40051,5.8,1.31588,103.83632,Balmoral Plaza,Bt Timah Rd
960,SMRT,2,15,40111,6.2,1.31806499998598,103.83262555597635,Ferrell Residences,Bt Timah Rd
960,SMRT,2,16,40071,6.6,1.31918027796911,103.829213610999,Leng Kwang Baptist Ch,Bt Timah Rd
960,SMRT,2,17,40081,7.0,1.32012951912406,103.82605259642706,Stevens Stn Exit 1,Bt Timah Rd
960,SMRT,2,18,40231,7.3,1.32230868317131,103.82577145824762,Raffles Town Club,Whitley Rd
960,SMRT,2,21,44269,16.4,1.37577833299245,103.77422500002575,Blk 223,Bt Panjang Rd
960,SMRT,2,22,44229,16.8,1.37656055754166,103.771459794786,Bef Pending Stn,Pending Rd
960,SMRT,2,23,44219,17.1,1.37578333297826,103.769352222019,Bet Blks 139/140,Petir Rd
960,SMRT,2,24,44209,17.4,1.37719530827914,103.76698269593902,Opp Petir Stn,Petir Rd
960,SMRT,2,25,44731,17.8,1.37887883000016,103.76432732997739,Opp Blk 180,Jelebu Rd
960,SMRT,2,26,44259,18.1,1.38029564329691,103.76297124601712,Blk 183,Bt Panjang Rd
960,SMRT,2,27,44041,18.5,1.3809505774787,103.7603697770399,Junction 10,Woodlands Rd
960,SMRT,2,28,44051,19.0,1.38440811744123,103.75801976703181,Opp Blk 632 CP,Woodlands Rd
960,SMRT,2,29,43991,19.2,1.386207,103.7565,Opp Blk 635A,Woodlands Rd
960,SMRT,2,30,44061,19.4,1.38792499938306,103.7553863903753,Bef Yew Tee Flyover,Woodlands Rd
960,SMRT,2,31,45011,19.6,1.3902154350718,103.75455779683573,Aft Yew Tee Flyover,Woodlands Rd
960,SMRT,2,32,45021,20.0,1.39385694401888,103.75383583300305,Heavy Veh Pk,Woodlands Rd
960,SMRT,2,33,45031,20.4,1.39623361717149,103.75421868895825,Yew Tee Ind Est,Woodlands Rd
960,SMRT,2,34,45041,20.9,1.40062703005588,103.75556160767161,Thong Huat Bros Pte Ltd,Woodlands Rd
960,SMRT,2,35,45051,21.2,1.403385556,103.7560103,Da Di Glass,Woodlands Rd
960,SMRT,2,36,45061,21.6,1.40718111138275,103.75606300126093,Opp Mandai Est,Woodlands Rd
960,SMRT,2,37,45071,21.9,1.40955433592964,103.75568311864467,Bef Mandai Rd,Woodlands Rd
960,SMRT,2,38,45091,22.4,1.41421866753882,103.75523144616068,Opp Jln Bumbong,Woodlands Rd
960,SMRT,2,39,45101,22.9,1.41863235748269,103.75457151987825,Aft LP 234,Woodlands Rd
960,SMRT,2,40,45111,23.3,1.42170099129292,103.75566245596836,Opp Kranji War Memorial,Woodlands Rd
960,SMRT,2,41,45121,23.8,1.42402638898738,103.75863222200965,Opp KF1 Karting Circuit,Woodlands Rd
960,SMRT,2,42,45131,24.1,1.42513583961154,103.76103770449444,Opp Kranji Stn,Woodlands Rd
960,SMRT,2,43,46389,24.9,1.42930397640592,103.76660954719264,Aft W'lands Ind Pk D St 1,Woodlands Ave 3
960,SMRT,2,44,46499,25.6,1.4322913388299,103.77219638823969,Opp Blk 402,Woodlands Ave 3
960,SMRT,2,45,46521,25.8,1.43237833345523,103.77429333367095,Marsiling Stn,Woodlands Ave 3
960,SMRT,2,46,46531,26.2,1.43240249999047,103.77751138903017,Blk 173,Woodlands Ave 3
960,SMRT,2,47,46541,26.6,1.43328331503309,103.78083569681783,Marsiling Mall,Woodlands Ave 3
960,SMRT,2,48,46009,27.3,1.436946,103.785936,Woodlands Int,Woodlands Sq
