ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,Latitude,Longitude,Description,RoadName
147,SBST,1,60,11021,21.3,1.28941805603102,103.80228694398484,Aft Queenstown NPC HQ,Queensway
147,SBST,1,61,11031,21.6,1.29119666696879,103.80045500000118,Opp Queen's Cl,Queensway
147,SBST,1,62,11041,22.3,1.29624499998226,103.79952333299494,Aft C'wealth Dr,Queensway
147,SBST,1,63,11051,22.7,1.29872166703909,103.8002979755481,Opp Queenstown Polyclinic,Queensway
147,SBST,1,64,11161,23.2,1.30213305598263,103.79839083302141,C'wealth Stn Exit A/D,C'wealth Ave
147,SBST,1,65,11171,23.7,1.30535666699303,103.79479722196947,Opp Blk 7B,C'wealth Ave
147,SBST,1,66,11181,24.1,1.30722333300814,103.79227638896938,Opp Blk 43,C'wealth Ave
147,SBST,1,67,11191,24.6,1.30801640815091,103.7883731546267,The Star Vista,C'wealth Ave West
147,SBST,1,68,19011,25.1,1.30781638901709,103.78423666696615,Blk 19A CP,C'wealth Ave West
147,SBST,1,69,19021,25.5,1.30965490194051,103.7812018067838,SP SMA,C'wealth Ave West
147,SBST,1,70,19031,25.9,1.31123416666912,103.77838361113201,Dover Stn Exit A,C'wealth Ave West
147,SBST,1,71,19041,26.3,1.31235972197855,103.77552750001337,Opp Sch of Science & Tech,C'wealth Ave West
147,SBST,1,72,17151,27.0,1.31169519353522,103.76960993525367,Blk 410,C'wealth Ave West
147,SBST,1,73,17161,27.3,1.31240993603605,103.76685476875124,Blk 455,C'wealth Ave West
147,SBST,1,74,17171,27.7,1.315334,103.764861,Clementi Stn Exit A/Mall,C'wealth Ave West
147,SBST,1,75,17009,27.9,1.31491572870629,103.76412225438476,Clementi Int,Clementi Ave 3
147,SBST,2,1,17009,0.0,1.31491572870629,103.76412225438476,Clementi Int,Clementi Ave 3
147,SBST,2,2,17239,0.6,1.312440556,103.7658489,NTUC Fairprice,Clementi Ave 3
147,SBST,2,3,17159,1.1,1.311975556,103.7698144,Blk 365,C'wealth Ave West
147,SBST,2,4,19049,1.6,1.31266302174215,103.77479215922537,Sch of Science & Tech,C'wealth Ave West
147,SBST,2,5,19039,2.1,1.31167951129602,103.77868390552867,Dover Stn Exit B,C'wealth Ave West
147,SBST,2,6,19029,2.6,1.3095609201372,103.78201879388226,Opp SP SMA,C'wealth Ave West
147,SBST,2,7,19019,2.9,1.30807305598128,103.78475916699466,Blk 27,C'wealth Ave West
147,SBST,2,8,11199,3.3,1.30837970735444,103.78843145303215,Blk 15,C'wealth Ave West
147,SBST,2,9,11189,3.8,1.30740138898924,103.79254222202354,Blk 43,C'wealth Ave
147,SBST,2,10,11179,4.0,1.30627521395682,103.79427940117534,Blk 8,C'wealth Ave
147,SBST,2,11,11169,4.6,1.30270500001823,103.79838166697326,C'wealth Stn Exit B/C,C'wealth Ave
147,SBST,2,12,11059,5.2,1.29882892782979,103.80097389222824,Queenstown Polyclinic,Queensway
147,SBST,2,13,11049,5.6,1.2954609366563,103.79952549937242,Opp Blessed Sacrament Ch,Queensway
147,SBST,2,14,11039,6.0,1.29245762862665,103.79998683928974,Blk 19,Queensway
147,SBST,2,15,11029,6.4,1.29013472201419,103.80202111098815,Blk 166/Aft Mei Chin Rd,Queensway
