ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
147,1,10041,10051,49,yfxFwhwxR??H`@B\@T?L?LCN]vAEDKRm@p@GFQPGJEHMPIJKLINMZq@~AM\Uf@
147,1,10051,10061,50,eoxFcvvxR?@GLGPMXCDEJEHEJM\GNc@pAWjASx@c@rAIN]t@IL
147,1,10061,10071,51,uvxFqevxREHg@bAEHCFILcB|CSZ}@bBIPKRCFO\a@~@k@tA
147,1,10071,10501,52,ebyFcruxRIRGLWn@Wn@s@|A??
147,1,10501,10081,53,{eyFckuxRUj@GNYr@MZQd@GRIPQh@IRK\ELe@rACJ[~@e@tA??
147,1,10081,10091,54,_nyFkytxRUl@Wt@Un@Up@St@G^GRMj@[nAENGVCLSv@WfACLc@rBERAJAFWjAIb@AJCN
147,1,10091,10101,55,_xyFs|sxR[bBO|@Id@Mn@CNMv@Mn@Mx@Q`AWxAUrACNGXAHIf@Ov@
147,1,10101,10111,56,y~yFecsxR?BCLQ~@[fBUvAOx@e@lCKz@Gv@G`A?FCTATATCj@El@E`A
147,1,10111,10131,57,kdzFogrxR?LCZ?DGz@IxA?HADG|AEz@IlAEr@
147,1,10131,11021,58,afzF}wqxRA@APEf@Gd@I~@AHQz@Qf@ELGJ]p@MPGJUVYTq@v@KJUXEBu@p@_A~@GDo@p@KJWV[Zs@r@wA|A
147,1,11021,11031,59,izzFw{pxRgAjAqAtASRUVMLEDA@EFGDCDONKHe@d@MJML[X
147,1,11031,11041,60,oe{FkppxRo@l@_At@KHm@d@gB|@k@Xu@f@o@j@OFSDcAQqBY_BSsAUmAUYIWI_@KGC
147,1,11041,11051,61,id|FmjpxRaA]yAi@gAUg@M{@SaAOs@KYEMAKA
147,1,11051,11161,62,{s|FsopxR}@My@KyAQa@?OAQBK@MD]TkCzCg@p@eAlAg@j@gApA
147,1,11161,11171,63,si}FecpxRk@p@QVsAdBg@j@WZe@\SRMLa@d@UVMJg@l@g@h@eDvDs@v@
147,1,11171,11181,64,}}}F{loxRc@d@QVw@`AOXUb@S`AC\@NDNv@f@b@\X^f@p@R`@DLDJOFKHU@NMLGGOGMWg@W_@[[g@c@ECEJc@Qa@?OJc@l@i@n@[h@OXGE??
147,1,11181,11191,65,_i~Fs|nxR??FDNYZi@h@o@b@m@NK`@?b@PDKa@Ui@?QHQP_@Li@t@W^q@jAMVa@hAK\K`@ITEPCLSt@K\IXGZQp@Gr@Ad@?T?N?ND~@LbBFn@
147,1,11191,19011,66,sn~FgdnxRFb@Jz@DT@RBPHbAp@~EDd@BbA?l@?JCTALALG\Mj@Oj@Ob@
147,1,19011,19021,67,km~FwjmxRGNuAtCg@fACDIJGLgAnBQ\INWd@a@x@OZ_@v@
